gene_id,symbol,SK-OV-3,SK-MEL-5,SK-MEL-28,SF539,SF295,SF268,RPMI-8226,PC-3,OVCAR-8,OVCAR-4,T47D,OVCAR-3,UACC-62,UACC-257,U251,U031,NCI-H522,NCI-H322M,EKVX,DU-145,BT-549,ACHN,A498,HOP-62,HOP-92,Hs-578-T,HT-29,NCI-H23,NCI-H226,NCI-H460,MDA-MB-231,MCF7,LOXIMVI,KM12,IGROV-1,MDA-MB-468,HCT-116,HCT-15,K-562,HL-60,SW620,A549,CAKI-1
SIDG24225,PDE2A,-1,1,-1,-1,-1,1,-1,1,1,0,1,1,-1,-1,-1,1,1,1,1,0,-1,0,-1,-1,-1,1,1,1,0,-1,0,1,1,0,0,1,-1,0,0,0,1,0,0
SIDG24226,PDE3A,-1,1,-1,0,0,1,1,-1,0,0,1,1,1,1,0,1,0,2,1,-1,0,2,0,1,-1,-1,1,1,1,0,-1,1,1,0,0,-1,0,0,-1,0,1,1,1
SIDG24227,PDE3B,0,0,1,0,0,2,-1,1,-1,-1,-1,1,-1,-1,0,1,1,1,0,-1,-1,0,1,0,-1,-1,1,-1,0,-1,0,-1,1,0,-1,-1,0,0,0,0,1,0,-1
SIDG24228,PDE4A,0,-1,0,-1,1,0,0,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-2,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,2,0,0,0,0,-1,-1,-1
SIDG24229,PDE4B,0,-1,1,1,0,1,1,1,1,1,-1,0,1,-2,1,0,1,-1,0,-1,1,0,-1,0,0,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,0,0,-1,0
SIDG24230,PDE4C,0,-1,1,1,1,0,0,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,1,-1,0,0,0,-1,-1,-1
SIDG24231,PDE4D,1,0,-2,-1,1,0,1,-2,1,2,1,-1,0,0,1,0,1,-1,-1,0,1,0,1,-1,-1,1,0,-1,1,-2,0,0,1,2,-1,-1,0,0,0,-1,1,1,1
SIDG24250,PDGFA,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,2,1,-1,1,1,0,1,1,1,-1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,-1,0
SIDG24251,PDGFB,-1,1,1,-1,1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1
SIDG24252,PDGFC,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,2,0,1,-2,-1,0,0,0,0,-1,-1,0,-1,0,0,1,-1,0,-1,-1,0,0,0,0,0,-1,0
